names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,ISIC category,
"market for land tenure, arable land (kg, US)",1.455483464,1.455483464,0.152178532,0.017238768,300,soybean oil refinery operation 1 kg US,192,15754.07597,57900,4.065320996,35.8024241,0.424044449,"Crop and animal production, hunting and related service activities","market for land tenure, arable land, measured as 
carbon net primary productivity, annual crop' (kg, US)"
"market for tap water (kg, RoW)",,0.564364122,,0.051679062,300,soybean oil refinery operation 1 kg US,192,15754.07597,57900,4.065320996,13.8824,1.271217256,"Water collection, treatment and distribution activities",
"market group for electricity, low voltage (kWh, GLO)",,0.180193846,,0.033448933,300,soybean oil refinery operation 1 kg US,192,15754.07597,57900,4.065320996,4.432462927,0.822787008,"Electricity, gas, steam and air conditioning supply",
"'market group for electricity, medium voltage' (kilowatt hour, GLO, None)",,0.124358194,,0.010653492,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,3.059000608,0.26205783,,
"'market group for transport, freight, lorry, unspecified' (ton kilometer, GLO, None)",,0.09415135,,0.010342127,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,2.31596349,0.25439878,,
"'market for electricity, high voltage' (kilowatt hour, AU, None)",,0.089291092,,0.019896978,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,2.196409388,0.489431905,,
"'market for electricity, high voltage' (kilowatt hour, RU, None)",,0.081182623,,0.014928173,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,1.996954806,0.367207731,,
"'market group for electricity, medium voltage' (kilowatt hour, RER, None)",-0.052055595,0.052055595,0.04575666,0.005150103,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,1.280479329,0.126683797,,
"'market group for electricity, medium voltage' (kilowatt hour, US, None)",,0.051696973,,0.004655334,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,1.271657836,0.114513319,,
"'market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)",,0.050039154,,0.007427715,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,1.230878301,0.182709188,,
"'market for combine harvesting' (hectare, GLO, None)",,0.044351677,,0.003122586,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,1.090976015,0.076810318,,
"'market for inorganic phosphorus fertiliser, as P2O5' (kilogram, US, None)",,0.043855858,,0.00347416,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,1.078779709,0.085458442,,
"'transport, freight, lorry, all sizes, EURO4 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)",,0.040533106,,0.007222915,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.997045646,0.177671456,,
"'market for electricity, high voltage' (kilowatt hour, ZA, None)",,0.030596645,,0.009129658,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.752625562,0.224574099,,
"'market group for electricity, low voltage' (kilowatt hour, US, None)",,0.027197301,,0.003223283,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.669007466,0.079287294,,
"'market for transport, freight, lorry, unspecified' (ton kilometer, RER, None)",,0.024936173,,0.003975634,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.613387554,0.097793852,,
"'market for liquid manure spreading, by vacuum tanker' (cubic meter, GLO, None)",0.024063936,0.024063936,0.002556394,0.000325163,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.591932003,0.007998458,,
"'market group for electricity, medium voltage' (kilowatt hour, RNA, None)",0.023018089,0.023639597,0.032283462,0.003559822,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.581493983,0.087565582,,
"'market group for electricity, medium voltage' (kilowatt hour, RAS, None)",,0.023366658,,0.002680435,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.574780147,0.065934154,,
"'transport, freight, lorry, all sizes, EURO5 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)",,0.022426281,,0.004342884,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.551648468,0.106827579,,
"'market for electricity, high voltage' (kilowatt hour, US-PR, None)",,0.02020962,,0.003176746,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.497122368,0.078142562,,
"'market for lime' (kilogram, RoW, None)",,0.018785009,,0.000950585,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.462079354,0.023382778,,
"'market for petroleum' (kilogram, RoW, None)",,0.017931909,,0.001653853,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.441094541,0.040681978,,
"'transport, freight, lorry, all sizes, EURO3 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)",,0.017652931,,0.003281621,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.434232156,0.08072231,,
"'transport, freight, lorry, all sizes, EURO4 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RER, None)",,0.017371717,,0.0040264,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.427314768,0.09904261,,
"'market for electricity, medium voltage' (kilowatt hour, US-RFC, None)",-0.01663386,0.01663386,0.023478891,0.002627943,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.409164738,0.06464294,,
"'market group for electricity, medium voltage' (kilowatt hour, RAF, None)",,0.015237537,,0.003570716,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.374817561,0.087833556,,
"'market for electricity, medium voltage' (kilowatt hour, US-MRO, None)",-0.01483539,0.01483539,0.020402855,0.002505532,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.364925427,0.061631837,,
"'market for electricity, medium voltage' (kilowatt hour, US-SERC, None)",-0.014278163,0.014278163,0.019510351,0.002104389,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.351218588,0.051764399,,
"'market group for electricity, medium voltage' (kilowatt hour, RLA, None)",,0.014172527,,0.002781753,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.348620122,0.068426405,,
"'market for inorganic nitrogen fertiliser, as N' (kilogram, US, None)",,0.014080861,,0.001055775,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.346365294,0.025970274,,
"'market group for electricity, low voltage' (kilowatt hour, RAS, None)",,0.013728818,,0.003073363,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.337705633,0.075599516,,
"'market group for electricity, medium voltage' (kilowatt hour, CA, None)",-0.012594175,0.012594175,0.019951853,0.002449736,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.30979534,0.06025935,,
"'market for electricity, high voltage' (kilowatt hour, US-TRE, None)",,0.012198979,,0.002461499,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.300074189,0.0605487,,
"'market for heat, district or industrial, natural gas' (megajoule, RoW, None)",,0.01209886,,0.001058027,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.297611431,0.026025669,,
"'market for electricity, medium voltage' (kilowatt hour, US-NPCC, None)",-0.011850709,0.01190191,0.015112875,0.001869126,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.292766795,0.045977329,,
"'market for electricity, high voltage' (kilowatt hour, KZ, None)",,0.011859273,,0.002247042,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.291717997,0.055273421,,
"'market for iron sulfate' (kilogram, RoW, None)",0.011638089,0.011638089,0.001734977,0.000173828,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.286277246,0.004275874,,
"'market for electricity, high voltage' (kilowatt hour, EG, None)",,0.011568716,,0.002554825,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.284570788,0.062844361,,
"'market for electricity, high voltage' (kilowatt hour, MX, None)",,0.011409805,,0.001792139,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.280661847,0.044083579,,
"'market for electricity, high voltage' (kilowatt hour, BR-South-eastern/Mid-western grid, None)",,0.011204687,,0.002422505,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.275616292,0.059589513,,
"'market group for electricity, low voltage' (kilowatt hour, RNA, None)",0.009346933,0.010779661,0.022823179,0.00256951,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.265161374,0.063205587,,
"'transport, freight, lorry, all sizes, EURO3 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RER, None)",,0.010626401,,0.0025954,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.261391438,0.063842437,,
"'market for potassium chloride' (kilogram, RoW, None)",-0.010064223,0.010064223,0.001672415,0.000173062,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.247562813,0.004257032,,
"'market group for electricity, medium voltage' (kilowatt hour, Europe without Switzerland, None)",,0.009415296,,0.001753612,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.231600309,0.04313588,,
"'market for pig iron' (kilogram, RoW, None)",,0.00927545,,0.000651556,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.228160335,0.016027172,,
"'market for diesel, low-sulfur' (kilogram, ZA, None)",,0.009260091,,0.001043921,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.22778253,0.025678686,,
"'market for heat, district or industrial, other than natural gas' (megajoule, RoW, None)",,0.009259091,,0.000723986,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.227757931,0.017808827,,
"'market for reinforcing steel' (kilogram, GLO, None)",,0.008937417,,0.000592009,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.219845297,0.014562417,,
"'market for wastewater from vegetable oil refinery' (cubic meter, GLO, None)",0.008496423,0.008496423,0.001054074,0.00012447,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.208997592,0.003061751,,
"'market for sowing' (hectare, GLO, None)",,0.00838179,,0.000613416,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.206177815,0.015088993,,
"'market for road' (meter-year, GLO, None)",-0.007719554,0.007719554,0.002189475,0.000237732,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.189887933,0.005847804,,
"'market for transport, freight train' (ton kilometer, RoW, None)",,0.007504639,,0.00045462,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.184601388,0.011182881,,
"'market for petroleum' (kilogram, RNA, None)",,0.0074056,,0.00064783,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.182165197,0.015935519,,
"'market group for electricity, medium voltage' (kilowatt hour, CN, None)",0.005304318,0.006687608,0.007400081,0.000753376,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.164503812,0.018531772,,
"'market for pesticide, unspecified' (kilogram, GLO, None)",,0.006674602,,0.000290964,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.164183886,0.007157221,,
"'market for fertilising, by broadcaster' (hectare, GLO, None)",,0.006557694,,0.000497844,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.161308148,0.012246118,,
"'market group for electricity, medium voltage' (kilowatt hour, Canada without Quebec, None)",,0.006555453,,0.001449378,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.161253023,0.03565224,,
"'market for electricity, high voltage' (kilowatt hour, CN-CSG, None)",,0.006341137,,0.000792607,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.155981213,0.019496788,,
"'market for electricity, high voltage' (kilowatt hour, US-NPCC, None)",,0.006331667,,0.001260796,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.155748267,0.031013443,,
"'market group for transport, freight train' (ton kilometer, GLO, None)",,0.006259027,,0.000559903,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.153961446,0.013772664,,
"'market for transport, freight, lorry, unspecified' (ton kilometer, BR, None)",,0.006256219,,0.001066495,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.153892374,0.026233968,,
"'transport, freight, lorry, all sizes, EURO5 to generic market for transport, freight, lorry, unspecified' (ton kilometer, BR, None)",,0.00624921,,0.001769078,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.153719965,0.043516318,,
"'market for electricity, high voltage' (kilowatt hour, US-MRO, None)",,0.005845583,,0.001388927,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.143791425,0.034165248,,
"'market for transport, freight train' (ton kilometer, CN, None)",,0.005842864,,0.000569797,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.143724542,0.01401604,,
"'market for electricity, high voltage' (kilowatt hour, ID, None)",,0.005708283,,0.001049914,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.140414078,0.025826103,,
"'market for electricity, high voltage' (kilowatt hour, US-RFC, None)",,0.005656324,,0.001499676,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.139135975,0.036889486,,
"'market for petroleum' (kilogram, Europe without Switzerland, None)",,0.005567692,,0.000665071,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.136955778,0.016359618,,
"'market for steel, unalloyed' (kilogram, GLO, None)",0.005340506,0.005376298,0.003351107,0.0003882,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.13224781,0.009549061,,
"'market for aluminium, wrought alloy' (kilogram, GLO, None)",,0.005320287,,0.000469828,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.130870035,0.011556972,,
"'market for sulfuric acid' (kilogram, RoW, None)",,0.005162794,,0.000579227,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.126995974,0.014248002,,
"'market for cast iron' (kilogram, GLO, None)",0.00451549,0.005031773,0.003825446,0.000359351,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.12377308,0.008839425,,
"'market for steel, low-alloyed' (kilogram, GLO, None)",,0.004868438,,0.000431588,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.119755316,0.010616333,,
"'market for electricity, medium voltage' (kilowatt hour, TW, None)",0.004737226,0.004737226,0.00759133,0.000891103,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.116527723,0.021919622,,
"'market for electricity, medium voltage' (kilowatt hour, JP, None)",-0.004672415,0.004672415,0.005949269,0.000698364,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.114933483,0.01717857,,
"'market for natural gas, high pressure' (cubic meter, US, None)",,0.004596067,,0.000459374,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.113055451,0.011299821,,
"'market for heat, central or small-scale, natural gas' (megajoule, RoW, None)",,0.004447049,,0.000307517,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.109389861,0.007564397,,
"'market for natural gas, high pressure' (cubic meter, RoW, None)",,0.004388303,,0.000461322,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.107944809,0.011347739,,
"'market for electricity, low voltage' (kilowatt hour, US-RFC, None)",,0.004324042,,0.001195208,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.106364098,0.029400089,,
"'market for electricity, low voltage' (kilowatt hour, US-TRE, None)",,0.004312982,,0.000987021,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.106092041,0.024279042,,
"'market for electricity, medium voltage' (kilowatt hour, US-WECC, None)",0.004099346,0.00410192,0.003936058,0.000506634,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.100900273,0.012462337,,
"'market for electricity, high voltage' (kilowatt hour, US-SERC, None)",,0.004080462,,0.000952721,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.100372443,0.02343532,,
"'market for sodium chloride, powder' (kilogram, GLO, None)",,0.003816052,,0.000279069,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.093868406,0.006864624,,
"'market group for electricity, medium voltage' (kilowatt hour, CN-SGCC, None)",,0.003780488,,0.00064642,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.092993591,0.015900835,,
"'market for electricity, high voltage' (kilowatt hour, BD, None)",,0.003768948,,0.000912918,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.092709727,0.022456234,,
"'market for electricity, high voltage' (kilowatt hour, PK, None)",,0.003746559,,0.000741995,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.092158996,0.018251818,,
"'market for electricity, medium voltage' (kilowatt hour, DE, None)",-0.003623967,0.003623967,0.00332971,0.000376069,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.08914344,0.009250659,,
"'market for harvester' (kilogram, GLO, None)",-0.003478396,0.003478396,0.000820302,8.59E-05,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.085562641,0.002112994,,
"'market for electricity, high voltage' (kilowatt hour, MY, None)",,0.003377327,,0.000583123,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.083076515,0.014343837,,
"'market for oxygen, liquid' (kilogram, RoW, None)",-0.003373774,0.003373774,0.001780701,0.000191787,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.082989117,0.004717635,,
"'market for electricity, high voltage' (kilowatt hour, KR, None)",,0.003372309,,0.000548261,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.082953081,0.013486291,,
"'market for sodium hydroxide, without water, in 50% solution state' (kilogram, GLO, None)",,0.003237324,,0.000292897,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.079632679,0.007204769,,
"'market for electricity, high voltage' (kilowatt hour, VN, None)",,0.003208286,,0.000588942,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.078918393,0.014486974,,
"'market for hard coal' (kilogram, CN, None)",,0.003137569,,0.000255787,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.077178875,0.006291926,,
